system,sample,depth,notes,creationdate,long.dd,lat.dd,successful_count
1,1,15,See notes for exact gps - bruv lost,11/03/2024 5:53,123.1734274,-34.08833307,
3,4,30,,11/03/2024 6:48,123.1660767,-34.09453167,
5,7,26,,11/03/2024 7:09,123.15523,-34.10822833,
7,10,17,,11/03/2024 22:58,123.17497,-34.12427667,
2,13,18,,11/03/2024 23:15,123.20067,-34.11282833,
6,16,15,,11/04/2024 0:51,123.216175,-34.111585,
4,19,8,,11/04/2024 3:51,123.1842783,-34.01494167,
5,22,12,,11/04/2024 4:05,123.1675267,-34.01750667,
3,25,11,,11/04/2024 5:30,123.1532833,-34.01240167,
4,28,20,,11/04/2024 5:52,123.1445383,-34.00078,
5,31,24,,11/04/2024 7:32,123.110335,-33.961195,
2,34,12,,11/04/2024 7:43,123.1238483,-33.95039333,
3,37,19,,11/04/2024 23:18,122.9151857,-33.9800397,
4,40,27,,11/04/2024 23:29,122.9265272,-33.96510636,
5,43,12,,11/05/2024 0:59,122.90575,-33.967425,
2,46,10,,11/05/2024 1:09,122.9029117,-33.97692667,
3,49,9,,11/05/2024 2:49,122.8525083,-33.981825,
4,52,10,,11/05/2024 2:59,122.8334867,-33.98853833,
5,55,15,,11/05/2024 5:00,122.7212533,-33.984545,
2,58,14,,11/05/2024 5:10,122.717535,-33.99426167,
3,61,12,,11/05/2024 6:45,122.6592567,-33.992795,
4,64,20,,11/05/2024 6:58,122.656828,-34.00304979,
5,67,15,,11/05/2024 22:49,122.5752417,-34.000975,
2,70,26,,11/05/2024 23:02,122.5839717,-34.00672167,
3,73,10,,11/06/2024 1:49,122.3476717,-34.10001833,
4,76,26,,11/06/2024 1:58,122.3446183,-34.11004,
5,79,19,,11/06/2024 3:47,122.264865,-34.11811667,
2,82,21,,11/06/2024 3:55,122.2587967,-34.12682167,
3,85,12,,11/06/2024 5:16,122.2566683,-34.13892667,
4,88,28,,11/06/2024 5:25,122.2509833,-34.14924,
5,91,18,,11/06/2024 22:42,122.28488,-33.99424167,
2,94,25,,11/06/2024 23:02,122.2468667,-34.00942333,
3,97,18,,11/07/2024 0:22,122.2239217,-33.99502833,
4,100,26,,11/07/2024 0:31,122.2144167,-34.00590667,
5,103,17,,11/07/2024 2:05,122.1537233,-34.03534167,
2,106,8,,11/07/2024 2:25,122.1410283,-34.01571833,
2,2,12,,11/03/2024 6:12,123.182205,-34.08633833,
4,6,29,,11/03/2024 6:57,123.1597033,-34.103195,
7,9,30,,11/03/2024 7:25,123.1571783,-34.120565,
5,11,15,,11/03/2024 23:06,123.190925,-34.118865,
3,14,15,,11/03/2024 23:20,123.2046817,-34.1178,
2,17,14,,11/04/2024 0:55,123.217355,-34.10606,
2,20,14,,11/04/2024 3:56,123.17489,-34.01474333,
7,23,12,,11/04/2024 4:08,123.1630667,-34.01754333,
6,26,27,,11/04/2024 5:38,123.1501617,-34.01040333,
7,29,21,,11/04/2024 5:57,123.132025,-33.99634167,
7,32,13,,11/04/2024 7:36,123.11652,-33.95762833,
6,35,18,,11/04/2024 7:48,123.137155,-33.95109833,
6,38,22,,11/04/2024 23:22,122.9215833,-33.97355333,
7,41,26,,11/04/2024 23:32,122.9405717,-33.961035,
7,44,15,,11/05/2024 1:01,122.9016963,-33.96871738,
6,47,6,,11/05/2024 1:16,122.8988533,-33.965035,
6,50,10,,11/05/2024 2:52,122.8436467,-33.98211333,
7,53,15,,11/05/2024 3:05,122.8248783,-33.99212,
7,56,12,,11/05/2024 5:04,122.717875,-33.98761833,
6,59,12,,11/05/2024 5:32,122.6625833,-33.98528833,
6,62,18,,11/05/2024 6:48,122.65726,-33.995635,
7,65,15,,11/05/2024 7:06,122.6454517,-33.99810333,
7,68,25,,11/05/2024 22:55,122.5711367,-34.00881167,
6,71,19,,11/05/2024 23:06,122.5910867,-34.006895,
6,74,14,,11/06/2024 1:53,122.3480133,-34.10342833,
7,77,25,,11/06/2024 2:01,122.3447033,-34.11375667,
7,80,21,,11/06/2024 3:50,122.2595917,-34.12010333,
6,83,18,,11/06/2024 3:58,122.2551833,-34.12993,
6,86,20,,11/06/2024 5:19,122.25686,-34.142535,
7,89,17,,11/06/2024 5:28,122.25021,-34.15337,
7,92,32,,11/06/2024 22:47,122.2793383,-34.00092333,
6,95,25,,11/06/2024 23:05,122.2413051,-34.01253368,
6,98,24,,11/07/2024 0:25,122.222555,-33.998735,
7,101,29,,11/07/2024 0:33,122.2121267,-34.00949667,
7,104,17,,11/07/2024 2:08,122.1551733,-34.03049833,
6,107,9,Showed 06 incorrectly. Is 107,11/07/2024 2:30,122.1355317,-34.01085333,
3,3,29,NA,11/03/2024 6:22,123.1778433,-34.07862,
2,5,28,NA,11/03/2024 6:51,123.1644917,-34.099035,
6,8,29,NA,11/03/2024 7:15,123.15696,-34.113365,
4,12,20,NA,11/03/2024 23:11,123.1973217,-34.116775,
6,15,18,NA,11/03/2024 23:24,123.20819,-34.12232333,
4,18,14,NA,11/04/2024 1:01,123.2161283,-34.093255,
6,21,11,NA,11/04/2024 4:01,123.1721133,-34.01794333,
3,24,10,NA,11/04/2024 4:14,123.1578033,-34.01415833,
2,27,16,NA,11/04/2024 5:41,123.1557283,-34.00650333,
5,30,21,NA,11/04/2024 6:05,123.1325617,-33.98273833,
4,33,21,NA,11/04/2024 7:39,123.1220967,-33.95464333,
3,36,8,NA,11/04/2024 7:53,123.1465899,-33.95002798,
2,39,16,NA,11/04/2024 23:25,122.9291367,-33.97177,
5,42,11,NA,11/04/2024 23:44,122.9097067,-33.96357667,
4,45,18,NA,11/05/2024 1:05,122.8968133,-33.97519833,
3,48,14,NA,11/05/2024 1:17,122.8999583,-33.96134833,
2,51,14,NA,11/05/2024 2:56,122.8378233,-33.985955,
5,54,8,NA,11/05/2024 3:13,122.81113,-34.00384167,
4,57,15,NA,11/05/2024 5:06,122.7188333,-33.990495,
3,60,17,NA,11/05/2024 5:35,122.665065,-33.98879333,
2,63,25,NA,11/05/2024 6:51,122.6564867,-33.99967,
5,66,12,NA,11/05/2024 7:09,122.63727,-33.999925,
4,69,11,NA,11/05/2024 22:59,122.577375,-34.006235,
3,72,13,NA,11/05/2024 23:11,122.5895733,-34.00261667,
2,75,26,NA,11/06/2024 1:56,122.3462333,-34.106735,
5,78,22,NA,11/06/2024 2:03,122.346,-34.11664667,
4,81,10,NA,11/06/2024 3:53,122.2623217,-34.12448333,
3,84,19,NA,11/06/2024 4:02,122.2584117,-34.13501667,
2,87,8,NA,11/06/2024 5:21,122.2555683,-34.146425,
5,90,20,NA,11/06/2024 5:31,122.25726,-34.151855,
4,93,21,NA,11/06/2024 22:49,122.28127,-34.00519833,
3,96,25,NA,11/06/2024 23:09,122.2359867,-34.01403333,
2,99,20,NA,11/07/2024 0:28,122.2170983,-34.00178667,
5,102,24,NA,11/07/2024 0:37,122.2075017,-34.00594833,
4,105,5,NA,11/07/2024 2:12,122.1484633,-34.027025,
3,108,18,NA,11/07/2024 2:36,122.1266333,-34.01328333,
