"opcode","site"
"001","middle"
"002","middle"
"003","middle"
"004","middle"
"005","middle"
"006","middle"
"007","middle"
"008","middle"
"009","middle"
"010","middle"
"011","middle"
"012","middle"
"013","middle"
"014","middle"
"015","middle"
"016","middle"
"017","middle"
"018","middle"
"019","arid"
"020","arid"
"021","arid"
"022","arid"
"023","arid"
"024","arid"
"025","arid"
"026","arid"
"027","arid"
"028","arid"
"029","arid"
"030","arid"
"031","ruby"
"032","ruby"
"033","ruby"
"034","ruby"
"035","ruby"
"036","ruby"
"037","ct"
"038","ct"
"039","ct"
"040","ct"
"041","ct"
"042","ct"
"043","ct"
"044","ct"
"045","ct"
"046","ct"
"047","ct"
"048","ct"
"049","twin"
"050","twin"
"051","twin"
"052","twin"
"053","twin"
"054","twin"
"055","mart"
"056","mart"
"057","mart"
"058","mart"
"059","mart"
"060","mart"
"061","mart"
"062","mart"
"063","mart"
"064","mart"
"065","mart"
"066","mart"
"067","york"
"068","york"
"069","york"
"070","york"
"071","york"
"072","york"
"073","finger"
"074","finger"
"075","finger"
"076","finger"
"077","finger"
"078","finger"
"079","mondrain"
"080","mondrain"
"081","mondrain"
"082","mondrain"
"083","mondrain"
"084","mondrain"
"085","mondrain"
"086","mondrain"
"087","mondrain"
"088","mondrain"
"089","mondrain"
"090","mondrain"
"091","miss"
"092","miss"
"093","miss"
"094","lucky"
"095","lucky"
"096","lucky"
"097","lucky"
"098","lucky"
"099","lucky"
"100","lucky"
"101","lucky"
"102","lucky"
"103","ram"
"104","ram"
"105","ram"
"106","ram"
"107","ram"
"108","ram"
